odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,bankrupt
1.9,50,8825,6747,2078,10,0,1000,1
1.9,100,5223,4153,1070,7,3,4831,0
1.9,150,2704,2232,472,4,32,24628,0
1.9,200,1197,1024,173,4,32,12815,0
1.9,250,483,418,65,3,66,501,1
1.9,300,172,155,17,2,142,10008,0
1.9,350,45,41,4,1,333,6977,0
1.9,400,15,14,1,1,333,2745,0
1.8,50,7828,6120,1708,7,3,5002,0
1.8,100,4659,3772,887,6,7,8435,0
1.8,150,2422,2040,382,4,32,21461,0
1.8,200,1090,946,144,4,32,11276,0
1.8,250,436,381,55,3,66,9175,0
1.8,300,156,142,14,2,142,8611,0
1.8,350,42,38,4,2,142,3033,0
1.8,400,15,14,1,1,333,2745,0
1.7,50,6717,5366,1351,5,15,17059,0
1.7,100,4014,3311,703,6,7,6223,0
1.7,150,2096,1802,294,4,32,16982,0
1.7,200,960,844,116,5,15,4725,0
1.7,250,390,343,47,3,66,7580,0
1.7,300,139,127,12,1,333,15299,0
1.7,350,38,35,3,1,333,4956,0
1.7,400,14,14,0,0,1000,7040,0
1.6,50,5296,4369,927,6,7,6368,0
1.6,100,3201,2722,479,5,15,194,1
1.6,150,1709,1509,200,3,66,450,1
1.6,200,799,714,85,3,66,13624,0
1.6,250,320,291,29,2,142,494,1
1.6,300,117,107,10,1,333,11280,0
1.6,350,29,26,3,1,333,3045,0
1.6,400,10,10,0,0,1000,4440,0
1.5,50,3962,3385,577,4,32,18472,0
1.5,100,2423,2118,305,4,32,278,1
1.5,150,1302,1178,124,2,142,524,1
1.5,200,609,559,50,2,142,19700,0
1.5,250,248,229,19,1,333,634,1
1.5,300,90,82,8,1,333,6971,0
1.5,350,22,21,1,1,333,2718,0
1.5,400,8,8,0,0,1000,3340,0
1.4,50,2659,2335,324,3,66,20908,0
1.4,100,1610,1438,172,2,142,31165,0
1.4,150,892,821,71,2,142,21442,0
1.4,200,423,397,26,2,142,11823,0
1.4,250,181,170,11,1,333,11186,0
1.4,300,72,65,7,1,333,4503,0
1.4,350,17,16,1,1,333,1986,0
1.4,400,5,5,0,0,1000,1980,0
1.3,50,1524,1386,138,3,66,9457,0
1.3,100,935,867,68,3,66,7339,0
1.3,150,521,501,20,1,333,26201,0
1.3,200,251,242,9,1,333,13138,0
1.3,250,113,109,4,1,333,6105,0
1.3,300,38,35,3,1,333,2086,0
1.3,350,8,7,1,1,333,963,0
1.3,400,4,4,0,0,1000,1600,0
1.2,50,674,643,31,2,142,7772,0
1.2,100,423,407,16,2,142,5425,0
1.2,150,245,238,7,1,333,7950,0
1.2,200,123,120,3,2,142,2519,0
1.2,250,63,61,2,1,333,2712,0
1.2,300,21,19,2,1,333,554,1
1.2,350,5,4,1,1,333,737,0
1.2,400,2,2,0,0,1000,1180,0
